data.name,date,aed,ars,aud,bch,bdt,bhd,bmd,bnb,brl,btc,cad,chf,clp,cny,czk,dkk,dot,eos,eth,eur,gbp,hkd,huf,idr,ils,inr,jpy,krw,kwd,lkr,ltc,mmk,mxn,myr,ngn,nok,nzd,php,pkr,pln,rub,sar,sek,sgd,thb,try,twd,uah,usd,vef,vnd,xag,xau,xdr,xlm,xrp,yfi,zar,bits,link,sats
Bitcoin,02-07-2021,123704.4363,3225199.62,45102.91632,67.27942334,2857142.248,12696.50983,33677.56624,116.4381228,170018.2295,1,41895.73434,31183.6751,24938224.16,217863.5437,725972.1404,211407.7227,2202.876422,8500.445035,15.86210665,28430.0289,24473.79048,261539.9794,9985264.958,492093230.1,110088.933,2510987.08,3757262.935,38175802.28,10145.2658,6705234.05,243.7540542,55455082.54,673678.6259,140064.998,13841869.27,290587.3181,48338.35379,1657240.233,5323178.533,128376.222,2475381.911,126310.6084,288930.988,45443.16078,1080484.194,292082.3326,939407.0842,922395.2321,33677.56624,3372.134707,776415404.6,1294.719216,18.96350077,23633.23211,124002.9757,50646.29972,1.043178598,486924.734,1001254.771,1833.015397,100125477.1
Ethereum,02-07-2021,7793.273801,203175.3856,2841.472777,4.238992015,179997.5206,799.8692719,2121.657901,7.335773274,10711.14536,0.063073808,2639.384862,1964.436685,1571086.818,13725.21712,45732.83676,13317.85032,138.8237773,535.5582416,1,1790.993274,1541.689984,16476.97772,628918.649,31001453.08,6935.508728,158190.0408,236704.8853,2405885.801,639.1430776,422424.0166,15.35614173,3493622.822,42450.98843,8823.975209,872025.9384,18306.91614,3045.546563,104403.8468,335355.6997,8087.165853,155946.9456,7957.460419,18207.44221,2862.72118,68079.75447,18404.3745,59181.84373,58110.11158,2121.657901,212.4416056,48908033.9,81.61483286,1.194960163,1488.873432,7818.019137,3190.716823,0.065764347,30676.81608,63073.80769,115.7875266,6307380.769
Dogecoin,02-07-2021,0.902719109,23.53443596,0.329136617,0.000491016,20.84967187,0.092651342,0.245758224,0.000849725,1.240705234,7.31E-06,0.305728146,0.227546803,181.9838658,1.589834529,5.297376523,1.542647967,0.016080389,0.062035375,0.00011577,0.207456314,0.178578739,1.908579505,72.84960048,3590.994597,0.803361517,18.32364375,27.41826205,278.6812248,0.074033928,48.93068585,0.00177875,404.6771823,4.917229838,1.022108455,101.0094729,2.120546956,0.352775118,12.09342184,38.84529228,0.936761539,18.06381906,0.921737355,2.109024582,0.331597886,7.885889409,2.13183586,6.855216772,6.731074708,0.245758224,0.024607771,5665.169469,0.0094537,0.000138416,0.172460834,0.905585439,0.36959064,7.62E-06,3.553390886,7.306035046,0.013412029,730.6035046
Binance Coin,02-07-2021,1062.26171,27693.80854,387.3067734,0.577795548,24534.55106,109.0261323,289.1924507,1,1459.982014,0.008597272,359.7611925,267.7624225,214146.8929,1870.814883,6233.611524,1815.288775,18.92236649,72.99923345,0.136231165,244.1212289,210.1399591,2245.893443,85724.71808,4225651.17,945.344094,21562.08386,32264.04495,327934.1174,87.11835819,57578.47981,2.093117962,476198.0456,5786.279387,1202.751402,118861.4423,2495.323088,415.1230385,14230.75997,45710.63819,1102.320648,21256.3389,1084.641157,2481.7643,390.2030358,9279.606779,2508.607143,8066.777599,7920.695213,289.1924507,28.95684009,6666406.576,11.12450481,0.162878972,202.9408023,1065.634622,434.9104619,0.008964005,4181.401544,8597.271509,15.78241175,859727.1509
Nano,02-07-2021,17.82686844,464.7572975,6.499779509,0.009696561,411.738661,1.829675775,4.853225645,0.01678035,24.50140775,0.000144279,6.037509767,4.493587065,3593.811629,31.39600202,104.6124241,30.46416328,0.31755502,1.225072615,0.00228623,4.096840722,3.526567296,37.69056774,1438.631607,70914.8478,15.86475784,361.8547375,541.4549723,5503.388018,1.462019666,966.2816375,0.035126691,7991.552205,97.10529941,20.18456546,1994.731877,41.87649427,6.966591871,238.8205123,767.1156041,18.49913726,356.7237278,18.20244016,41.64895078,6.548384564,155.7302948,42.09942719,135.3766041,132.9250506,4.853225645,0.485953484,111875.5876,0.18669136,0.002733434,3.405751096,17.88347262,7.298664269,0.000150434,70.17225089,144.2793491,0.264860322,14427.93491
Litecoin,02-07-2021,507.4088189,13228.45637,185.0041949,0.275994657,11719.379,52.07833484,138.1380864,0.477621619,697.3872282,0.004106645,171.8465422,127.9016398,102291.1972,893.6290946,2977.599052,867.1060294,9.038615949,34.86942481,0.065073318,116.6089893,100.3772116,1072.792259,40947.98631,2018459.904,451.5609719,10299.52544,15411.51374,156643.7551,41.61368411,27503.41856,1,227464.744,2763.92264,574.5163012,56776.35134,1191.936911,198.2911449,6797.583909,21834.52601,526.5437066,10153.48074,518.0987728,1185.460307,186.3876479,4432.574639,1198.282284,3853.244502,3783.465567,138.1380864,13.83176659,3184331.559,5.313824075,0.077802133,96.93840211,509.0199521,207.7429712,0.004281822,1997.323258,4106.644663,7.538758889,410664.4663
Dash,02-07-2021,512.1148798,13351.76624,186.7182396,0.278525127,11828.07264,52.5613454,139.4192747,0.482033604,703.8459394,0.004145021,173.4410632,129.0949986,103239.9165,901.91723,3005.398566,875.1912521,9.119525765,35.19036599,0.065666366,117.6953816,101.3172417,1082.730087,41337.26257,2037180.5,455.7490613,10395.05037,15554.41595,158041.1906,41.99963825,27758.50433,1.009099446,229574.4096,2788.912499,579.8447635,57302.93456,1202.981024,200.1123887,6860.686714,22037.03453,531.455261,10247.65116,522.9039798,1196.124105,188.1267925,4473.016892,1209.170125,3888.982161,3818.556048,139.4192747,13.96005198,3214224.918,5.359912671,0.078505599,97.83747602,513.3507811,209.666884,0.004318578,2015.783824,4145.020844,7.588365364,414502.0844
Swipe,02-07-2021,7.049578458,183.7953306,2.570292197,0.003834071,162.8207447,0.723539469,1.919192654,0.006635491,9.688875226,5.71E-05,2.387523642,1.7770726,1421.161383,12.4154492,41.37117241,12.04754956,0.12553592,0.48441718,0.000903938,1.620149813,1.394694575,14.90445015,569.0330182,28043.05115,6.27366806,143.0943057,214.1161679,2175.534859,0.57815103,382.113002,0.013890879,3160.233917,38.39110763,7.981922249,788.8103802,16.55977877,2.754670954,94.44160123,303.3534272,7.315810782,141.0652642,7.198097101,16.46538903,2.5896818,61.57384752,16.64497557,53.53424778,52.56478872,1.919192654,0.19216876,44245.79647,0.073782517,0.001080678,1.346793445,7.066591404,2.886194498,5.94E-05,27.74851265,57.0587788,0.104458548,5705.87788
NEO,02-07-2021,126.3013275,3292.752388,46.0501957,0.068699026,2917.121402,12.96304396,34.38454957,0.118886867,173.5896764,0.001022203,42.77506736,31.83655129,25461.74507,222.4370896,741.1670808,215.8351186,2.249841056,8.679499603,0.016197682,29.02564875,24.98532664,267.033369,10192.54068,502423.5999,112.3999979,2563.6995,3836.146657,38990.87575,10.3582424,6845.995075,0.248868593,56619.23493,687.9799592,143.0053417,14132.4476,296.6901806,49.35750799,1692.016062,5434.926469,131.0642753,2527.346882,128.9622102,295.078061,46.39455697,1103.331358,298.2696349,959.1277834,941.7588064,34.38454957,3.442924949,792625.7647,1.322686973,0.019366066,24.12935766,126.7023616,51.71020301,0.001065807,497.1623856,1022.202715,1.876505137,102220.2715
NEM,02-07-2021,0.476451418,12.42195494,0.173715261,0.000259129,11.00437072,0.048900996,0.129710176,0.000448465,0.654830409,3.86E-06,0.161362702,0.120104878,96.05033277,0.839108099,2.796103894,0.814243307,0.008484446,0.032739724,6.11E-05,0.109499125,0.094261552,1.007329227,38.45855326,1895.31212,0.424010891,9.671143505,14.47121306,147.0352696,0.039074801,25.82541394,0.000938826,213.5869458,2.594693824,0.539464622,53.31238268,1.11920594,0.186176647,6.382911421,20.50238486,0.494444944,9.534009108,0.48648917,1.112826534,0.175025723,4.161517907,1.124964034,3.618155105,3.552633436,0.129710176,0.01298788,2990.387668,0.004986651,7.30E-05,0.091024116,0.477601252,0.195065772,4.02E-06,1.875405499,3.856363363,0.007059915,385.6363363
Cosmos,02-07-2021,41.23644418,1075.059168,15.03504645,0.022429721,952.4184447,4.232337452,11.22629973,0.038815678,56.67573846,0.000333742,13.9657414,10.39439725,8313.070418,72.62405561,241.9855402,70.46856116,0.734556374,2.833792075,0.005288423,9.476658468,8.157523344,87.1844092,3327.788736,164037.5691,36.69776346,837.0288218,1252.473356,12730.23098,3.381889116,2235.166482,0.081253745,18485.75916,224.6203405,46.69018059,4614.139045,96.86713762,16.11485931,552.4306615,1774.463075,42.79151122,825.1599624,42.10520262,96.34079256,15.14747784,360.2294834,97.3828177,313.1480887,307.4772469,11.22629973,1.124089392,258786.4178,0.431847461,0.006322877,7.878055839,41.36737885,16.88299674,0.000347978,162.3198217,333.741585,0.612664973,33374.1585
